PaperID,NSF_Award_Number,Type,Diff_ZScore,AwardNumber,DOI,DocType,Year,Date,JournalID,ConferenceSeriesID,Citation_Count,C10,Reference_Count,C5,Team_Size,Institution_Count,Disruption,Atyp_10pct_Z,Atyp_Pairs,Atyp_Median_Z,SB_B,SB_T,Patent_Count,Newsfeed_Count,Tweet_Count,NCT_Count,NIH_Count,NSF_Count,WSB_mu,WSB_sigma,WSB_Cinf,JournalTitle,PaperTitle,BookTitle,Publisher,Volume,Issue,FirstPage,LastPage,OriginalVenue,FamilyID,RetractionType
2808311033,NSF-1545399,First,NA,1545399,10.1021/JACS.8B03979,Journal,2018,6/14/18,111155417,NA,38,NA,75,NA,4,2,-0.003134445,3.146121227,645,170.1825451,0,0,0,0,6,0,0,1,NA,NA,NA,Journal of the American Chemical Society,Thermodynamics of Counterion Release Is Critical for Anion Exchange Membrane Conductivity,,American Chemical Society,140,25,7961,7969,Journal of the American Chemical Society,NA,
2808455819,NSF-1144804,Crossref,NA,1144804,10.3389/FCVM.2018.00052,Journal,2018,6/11/18,2595413687,NA,12,NA,56,NA,3,2,-0.000808931,-10.49265585,711,41.21386872,-0.333333333,1,1,0,1,0,3,1,NA,NA,NA,Frontiers in Cardiovascular Medicine,Development of a Contractile Cardiac Fiber From Pluripotent Stem Cell Derived Cardiomyocytes.,,Frontiers,5,NA,52,52,Frontiers in Cardiovascular Medicine,NA,
2808545861,NSF-1545403,First,NA,1545403,10.1063/1.5026323,Journal,2018,6/11/18,187991544,NA,2,NA,14,NA,7,1,-1.94E-05,24.35738595,23,84.07141168,0.5,1,0,0,0,0,0,3,NA,NA,NA,Journal of Applied Physics,Minimal effect of stacking number on intrinsic cleavage and shear behavior of Ti n +1 AlC n and Ta n +1 AlC n MAX phases,,AIP Publishing LLCAIP Publishing,123,22,225102,,Journal of Applied Physics,NA,
2808790642,NSF-1545399,First,NA,1545399,10.3390/MA11071059,Journal,2018,6/22/18,18714766,NA,42,NA,137,NA,2,1,-0.000655176,-24.25925683,2874,17.61015309,-0.25,1,0,0,0,0,0,2,NA,NA,NA,Materials,Current and Emerging Approaches to Engineer Antibacterial and Antifouling Electrospun Nanofibers,,Materials (Basel),11,7,1059,,Materials,NA,
2809022720,NSF-1545220,First,NA,1545220,10.7554/ELIFE.35987,Journal,2018,6/19/18,1336409049,NA,61,NA,100,NA,14,3,-0.000309479,-26.23200401,1556,22.67236236,-0.083333333,1,0,4,111,0,2,1,NA,NA,NA,eLife,Antibiotic-induced changes in the microbiota disrupt redox dynamics in the gut.,,"eLife Sciences Publications, Ltd",7,NA,,,eLife,NA,
2809031729,NSF-1735258,Second,1.460747131,1735258,10.1007/978-3-319-94391-6_2,,2018,7/21/18,NA,NA,3,NA,10,NA,4,1,-4.62E-05,NA,NA,NA,NA,NA,0,0,0,0,0,2,NA,NA,NA,NA,A Visual Analytics Approach to Combat Confirmation Bias for a Local Food Bank,,"Springer, Cham",NA,NA,13,23,International Conference on Applied Human Factors and Ergonomics,NA,
2809365051,NSF-1449999,First,NA,1449999,10.1039/C8DT01392F,Journal,2018,7/3/18,166159787,NA,6,NA,31,NA,9,3,-0.001889169,-20.0748815,194,74.74109825,0,0,0,0,13,0,0,2,NA,NA,NA,Dalton Transactions,Fabrication of single-chain nanoparticles through the dimerization of pendant anthracene groups via photochemical upconversion.,,The Royal Society of Chemistry,47,26,8663,8669,Dalton Transactions,NA,
2809600933,NSF-1425989,First,NA,1425989,10.1002/2017JC012839,Journal,2017,8/1/17,207178839,NA,29,NA,67,NA,5,4,-0.0025,-2.617642819,218,137.1735961,0.288888889,1,0,0,0,0,0,1,NA,NA,NA,Journal of Geophysical Research,Annual nitrate drawdown observed by SOCCOM profiling floats and the relationship to annual net community production,,"John Wiley & Sons, Ltd",122,8,6668,6683,Journal of Geophysical Research,NA,
2809654418,NSF-1633587,First,NA,1633587,10.1177/1045389X18781023,Journal,2018,6/18/18,45331193,NA,5,NA,22,NA,4,2,-6.00E-05,-22.22576829,123,8.081522185,1,2,0,0,0,0,0,1,NA,NA,NA,Journal of Intelligent Material Systems and Structures,Analysis of a multi-axial quantum informed ferroelectric continuum model: Part 1—uncertainty quantification:,,"SAGE PublicationsSage UK: London, England",29,13,2823,2839,Journal of Intelligent Material Systems and Structures,NA,
2809772224,NSF-1449617,Crossref,NA,1449617,10.1002/HYP.13175,Journal,2018,7/30/18,75830442,NA,14,NA,34,NA,3,1,-0.000419155,-0.111279875,237,68.45855869,0.8,1,0,0,0,0,0,2,NA,NA,NA,Hydrological Processes,Long‐term and seasonal hydrologic performance of an extensive green roof,,Wiley,32,16,2471,2482,Hydrological Processes,NA,
